Sr no,Name,MoneyControl_link,News_link
203,Housing+and+Urban+Development+Corporation+Ltd+moneycontrol,,
204,Housing+Development+%26+Infrastructure+Ltd+moneycontrol,,
205,Housing+Development+Finance+Corp+moneycontrol,,
206,HSIL+Ltd+moneycontrol,,
207,ICICI+Bank+Ltd+moneycontrol,,
208,ICICI+Prudential+Life+Insurance+Company+Ltd+moneycontrol,,
209,ICRA+Ltd.+moneycontrol,,
210,IDBI+Bank+Ltd+moneycontrol,,
211,Idea+Cellular+Ltd+moneycontrol,,
212,IDFC+Bank+Ltd+moneycontrol,,
213,IDFC+Limited+moneycontrol,,
214,IFCI+Ltd+moneycontrol,,
215,IL%26FS+Transportation+Networks+Ltd+moneycontrol,,
216,India+Cements+Ltd+moneycontrol,,
217,Indiabulls+Housing+Finance+Limited+moneycontrol,,
218,Indiabulls+Real+Estate+Ltd+moneycontrol,,
219,Indiabulls+Ventures+Ltd+moneycontrol,,
220,Indian+Bank+moneycontrol,,
221,Indian+Hotels+Co+Ltd+moneycontrol,,
222,Indian+Oil+Corp+Ltd+moneycontrol,,
223,Indian+Overseas+Bank+moneycontrol,,
224,Indo+Count+Industries+Ltd+moneycontrol,,
225,Indraprastha+Gas+Ltd+moneycontrol,,
226,IndusInd+Bank+Ltd+moneycontrol,,
227,Infibeam+Incorporation+Ltd+moneycontrol,,
228,Info+Edge+(India)+Ltd.+moneycontrol,,
229,Infosys+Ltd+moneycontrol,,
230,Inox+Leisure+moneycontrol,,
231,Inox+Wind+Ltd+moneycontrol,,
232,Intellect+Design+Arena+Ltd.+moneycontrol,,
233,InterGlobe+Aviation+Ltd+moneycontrol,,
234,Ipca+Laboratories+Ltd+moneycontrol,,
235,IRB+Infrastructure+Developers+Ltd+moneycontrol,,
236,ISGEC+Heavy+Engineering+Ltd+moneycontrol,,
237,ITC+Ltd+moneycontrol,,
238,ITD+Cementation+India+Ltd+moneycontrol,,
239,J+Kumar+Infraprojects+Ltd+moneycontrol,,
240,J.+K.+Tyre+Industries+Ltd+moneycontrol,,
241,J.B.Chemicals+%26+Pharmaceuticals+Ltd.+moneycontrol,,
242,J.K.+Cement+Ltd.+moneycontrol,,
243,Jagran+Prakashan+Ltd+moneycontrol,,
244,Jai+Corp+Ltd+moneycontrol,,
245,Jain+Irrigation+Systems+Ltd+moneycontrol,,
246,Jaiprakash+Associates+Ltd+moneycontrol,,
