Sr.no,id,name,moneycontrol_link,news
135,511243,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/cholamandalaminvestmentfinancecompany/CDB,
136,531500,RAJESH EXPORTS LTD.,http://www.moneycontrol.com/india/stockpricequote/diamond-cutting-jewellery-precious-metals/rajeshexports/RE07,
137,500271,MAX FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,
138,500008,AMARA RAJA BATTERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB,
139,500092,CRISIL LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,
140,500390,RELIANCE INFRASTRUCTURE LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/relianceinfrastructure/RI38,
141,506285,BAYER CROPSCIENCE LTD.,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/bayercropscience/BC12,
142,500770,TATA CHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,
143,500469,FEDERAL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,
144,532514,INDRAPRASTHA GAS LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/indraprasthagas/IG04,
145,532234,NATIONAL ALUMINIUM CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,
146,507815,GILLETTE INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/gilletteindia/GI22,
147,533206,SJVN LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/sjvn/S11,
148,532683,AIA ENGINEERING LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,
149,533398,MUTHOOT FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/muthootfinance/MF10,
150,511288,GRUH FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gruhfinance/GRU,
151,532149,BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofindia/BOI,
152,523395,3M INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,
153,532814,INDIAN BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,
154,500238,WHIRLPOOL OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/whirlpoolindia/WI,
155,533096,ADANI POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/adanipower/AP11,
156,532498,SHRIRAM CITY UNION FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramcityunionfinance/SCU,
157,500111,RELIANCE CAPITAL LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC,
158,532939,RELIANCE POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/reliancepower/RP,
159,524816,NATCO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07,
160,509930,SUPREME INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,
161,526299,MPHASIS LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,
162,502355,BALKRISHNA INDUSTRIES LTD,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,
163,500575,VOLTAS LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,
164,523642,P.I.INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/piindustries/PII,
165,540005,LARSEN & TOUBRO INFOTECH LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/larsentoubroinfotech/LI12,
166,530019,JUBILANT LIFE SCIENCES LIMITED,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03,
167,535755,ADITYA BIRLA FASHION AND RETAIL LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,
168,539876,CROMPTON GREAVES CONSUMER ELECTRICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,
169,533273,OBEROI REALTY LTD.,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/oberoirealty/OR,
170,500850,INDIAN HOTELS CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,
171,504973,TUBE INVESTMENTS OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/tubeinvestment/tubeinvestmentsindialtd/TIIND54076,
172,533573,ALEMBIC PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,
173,526612,BLUE DART EXPRESS LTD.,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,
174,539268,SYNGENE INTERNATIONAL LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,
