Sr no,Name,MoneyControl_link,News_link
84,CCL+Products+(India)+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
85,CEAT+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
86,Central+Bank+of+India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
87,Centrum+Capital+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
88,Century+Plyboards+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
89,Century+Textile+%26+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
90,Cera+Sanitaryware+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
91,CESC+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
92,CG+Power+and+Industrial+Solutions+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
93,Chambal+Fertilizers+%26+Chemicals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
94,Chennai+Petroleum+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
95,Cholamandalam+Investment+%26+Finance+Co.+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
96,Cipla+Ltd/India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
97,City+Union+Bank+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
98,Coal+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
99,Coffee+Day+Enterprises+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
100,Colgate-Palmolive+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
101,Container+Corp+Of+India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
102,Coromandel+International+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
103,Corp+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
104,Cox+%26+Kings+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
105,CRISIL+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
106,Crompton+Greaves+Consumer+Electricals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
107,Cummins+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
108,Cyient+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
109,Dabur+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
110,Dalmia+Bharat+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
111,DB+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
112,DCB+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
113,DCM+Shriram+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
114,Deepak+Fertilisers+%26+Petrochemicals+Corp.+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
115,Deepak+Nitrite+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
116,Delta+Corp.+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
117,Dena+Bank+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
118,Dewan+Housing+Finance+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
119,Dhanuka+Agritech+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
120,Dilip+Buildcon+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
121,Dish+TV+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
