Sr.no,id,name,moneycontrol_link,news,cnews
59,500550,SIEMENS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,http://www.moneycontrol.com/company-article/siemens/news/S#S,
60,532321,CADILA HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,http://www.moneycontrol.com/company-article/cadilahealthcare/news/CHC#CHC,
61,524804,AUROBINDO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,http://www.moneycontrol.com/company-article/aurobindopharma/news/AP#AP,
62,540376,AVENUE SUPERMARTS LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,http://www.moneycontrol.com/company-article/avenuesupermarts/news/AS19#AS19,
63,500440,HINDALCO INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,http://www.moneycontrol.com/company-article/hindalcoindustries/news/HI#HI,
64,532134,BANK OF BARODA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,http://www.moneycontrol.com/company-article/bankofbaroda/news/BOB#BOB,
65,500825,BRITANNIA INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,http://www.moneycontrol.com/company-article/britanniaindustries/news/BI#BI,
66,533098,NHPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,http://www.moneycontrol.com/company-article/nhpc/news/N07#N07,
67,500114,TITAN COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,http://www.moneycontrol.com/company-article/titancompany/news/TI01#TI01,
68,500103,BHARAT HEAVY ELECTRICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,http://www.moneycontrol.com/company-article/bharatheavyelectricals/news/BHE#BHE,
69,512070,UPL LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,http://www.moneycontrol.com/company-article/upl/news/UP04#UP04,
70,532810,POWER FINANCE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,http://www.moneycontrol.com/company-article/powerfinancecorporation/news/PFC02#PFC02,
71,531642,MARICO LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,http://www.moneycontrol.com/company-article/marico/news/M13#M13,
72,535789,INDIABULLS HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01,http://www.moneycontrol.com/company-article/indiabullshousingfinance/news/IHF01#IHF01,
73,500331,PIDILITE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,http://www.moneycontrol.com/company-article/pidiliteindustries/news/PI11#PI11,
74,532822,IDEA CELLULAR LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/ideacellular/IC8,http://www.moneycontrol.com/company-article/ideacellular/news/IC8#IC8,
75,500049,BHARAT ELECTRONICS LTD.,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,http://www.moneycontrol.com/company-article/bharatelectronics/news/BE03#BE03,
76,539448,INTERGLOBE AVIATION LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/interglobeaviation/IA04,http://www.moneycontrol.com/company-article/interglobeaviation/news/IA04#IA04,
77,532432,UNITED SPIRITS LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedspirits/US,http://www.moneycontrol.com/company-article/unitedspirits/news/US#US,
78,500302,PIRAMAL ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,http://www.moneycontrol.com/company-article/piramalenterprises/news/PH05#PH05,
79,532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01,http://www.moneycontrol.com/company-article/oraclefinancialservicessoftware/news/OFS01#OFS01,
80,532955,RURAL ELECTRIFICATION CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/ruralelectrificationcorporation/REC02,http://www.moneycontrol.com/company-article/ruralelectrificationcorporation/news/REC02#REC02,
81,532461,PUNJAB NATIONAL BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,http://www.moneycontrol.com/company-article/punjabnationalbank/news/PNB05#PNB05,
82,532522,PETRONET LNG LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/petronetlng/PLN,http://www.moneycontrol.com/company-article/petronetlng/news/PLN#PLN,
83,500253,LIC HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,http://www.moneycontrol.com/company-article/lichousingfinance/news/LIC#LIC,
84,533106,OIL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilindia/OI13,http://www.moneycontrol.com/company-article/oilindia/news/OI13#OI13,
85,500410,ACC LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,http://www.moneycontrol.com/company-article/acc/news/ACC06#ACC06,
86,532733,SUN TV NETWORK LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/suntvnetwork/STN01,http://www.moneycontrol.com/company-article/suntvnetwork/news/STN01#STN01,
87,517354,HAVELLS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01,http://www.moneycontrol.com/company-article/havellsindia/news/HI01#HI01,
88,532296,GLENMARK PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,http://www.moneycontrol.com/company-article/glenmarkpharma/news/GP08#GP08,
89,500477,ASHOK LEYLAND LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,http://www.moneycontrol.com/company-article/ashokleyland/news/AL#AL,
90,532868,DLF LTD.,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04,http://www.moneycontrol.com/company-article/dlf/news/D04#D04,
91,500830,COLGATE-PALMOLIVE (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI,http://www.moneycontrol.com/company-article/colgatepalmoliveindia/news/CPI#CPI,
92,500113,STEEL AUTHORITY OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI,http://www.moneycontrol.com/company-article/steelauthorityindia/news/SAI#SAI,
93,500002,ABB INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB,http://www.moneycontrol.com/company-article/abbindia/news/ABB#ABB,
94,500480,CUMMINS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,http://www.moneycontrol.com/company-article/cumminsindia/news/CI02#CI02,
95,531162,EMAMI LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,http://www.moneycontrol.com/company-article/emami/news/E06#E06,
96,531344,CONTAINER CORPORATION OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI,http://www.moneycontrol.com/company-article/containercorporationindia/news/CCI#CCI,
97,500493,BHARAT FORGE LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,http://www.moneycontrol.com/company-article/bharatforge/news/BF03#BF03,
98,500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,http://www.moneycontrol.com/company-article/glaxosmithklinepharmaceuticals/news/GSK#GSK,
99,500420,TORRENT PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,http://www.moneycontrol.com/company-article/torrentpharmaceuticals/news/TP06#TP06,
100,539523,ALKEM LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,http://www.moneycontrol.com/company-article/alkemlaboratories/news/AL05#AL05,
101,500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/proctergamblehygienehealthcare/PGH,http://www.moneycontrol.com/company-article/proctergamblehygienehealthcare/news/PGH#PGH,
102,500290,MRF LTD.,http://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,http://www.moneycontrol.com/company-article/mrf/news/MRF#MRF,
103,500490,BAJAJ HOLDINGS & INVESTMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI,http://www.moneycontrol.com/company-article/bajajholdingsinvestment/news/BHI#BHI,
104,500400,TATA POWER CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/tatapowercompany/TPC,http://www.moneycontrol.com/company-article/tatapowercompany/news/TPC#TPC,
105,511218,SHRIRAM TRANSPORT FINANCE CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramtransportfinancecorporation/STF,http://www.moneycontrol.com/company-article/shriramtransportfinancecorporation/news/STF#STF,
106,500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/glaxosmithklineconsumerhealthcare/GSC04,http://www.moneycontrol.com/company-article/glaxosmithklineconsumerhealthcare/news/GSC04#GSC04,
107,509480,BERGER PAINTS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/bergerpaintsindia/BPI02,http://www.moneycontrol.com/company-article/bergerpaintsindia/news/BPI02#BPI02,
108,532523,BIOCON LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,http://www.moneycontrol.com/company-article/biocon/news/BL03#BL03,
109,539437,IDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcbank/IDF01,http://www.moneycontrol.com/company-article/idfcbank/news/IDF01#IDF01,
110,532478,UNITED BREWERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedbreweries/UB02,http://www.moneycontrol.com/company-article/unitedbreweries/news/UB02#UB02,
111,500483,TATA COMMUNICATIONS LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,http://www.moneycontrol.com/company-article/tatacommunications/news/TC17#TC17,
112,500870,CASTROL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,http://www.moneycontrol.com/company-article/castrolindia/news/CI01#CI01,
113,532343,TVS MOTOR COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,http://www.moneycontrol.com/company-article/tvsmotorcompany/news/TVS#TVS,
114,532488,DIVI'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,http://www.moneycontrol.com/company-article/divislaboratories/news/DL03#DL03,
115,533519,L&T FINANCE HOLDINGS LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,http://www.moneycontrol.com/company-article/ltfinanceholdings/news/LFH#LFH,
116,500165,KANSAI NEROLAC PAINTS LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/kansainerolacpaints/KNP,http://www.moneycontrol.com/company-article/kansainerolacpaints/news/KNP#KNP,
117,500303,ADITYA BIRLA NUVO LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01,http://www.moneycontrol.com/company-article/adityabirlanuvo/news/ABN01#ABN01,
118,500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP,http://www.moneycontrol.com/company-article/mangalorerefinerypetrochemicals/news/MRP#MRP,
119,500086,EXIDE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI,http://www.moneycontrol.com/company-article/exideindustries/news/EI#EI,
120,532885,CENTRAL BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/centralbankindia/CBO01,http://www.moneycontrol.com/company-article/centralbankindia/news/CBO01#CBO01,
121,508869,APOLLO HOSPITALS ENTERPRISE LTD.,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE,http://www.moneycontrol.com/company-article/apollohospitalsenterprises/news/AHE#AHE,
122,532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/mahindramahindrafinancialservices/MMF04,http://www.moneycontrol.com/company-article/mahindramahindrafinancialservices/news/MMF04#MMF04,
123,533309,DALMIA BHARAT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE,http://www.moneycontrol.com/company-article/dalmiabharat/news/DBE#DBE,
124,540173,PNB Housing Finance Ltd,http://www.moneycontrol.com/india/stockpricequote/finance-housing/pnbhousingfinance/PHF,http://www.moneycontrol.com/company-article/pnbhousingfinance/news/PHF#PHF,
125,511431,VAKRANGEE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/vakrangee/VS,http://www.moneycontrol.com/company-article/vakrangee/news/VS#VS,
126,500164,GODREJ INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejindustries/GI23,http://www.moneycontrol.com/company-article/godrejindustries/news/GI23#GI23,
127,532827,PAGE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/pageindustries/PI35,http://www.moneycontrol.com/company-article/pageindustries/news/PI35#PI35,
128,500116,IDBI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/idbibank/IDB05,http://www.moneycontrol.com/company-article/idbibank/news/IDB05#IDB05,
129,534309,NBCC (India) Ltd,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/nbccindia/NBC01,http://www.moneycontrol.com/company-article/nbccindia/news/NBC01#NBC01,
130,532483,CANARA BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,http://www.moneycontrol.com/company-article/canarabank/news/CB06#CB06,
131,513683,NEYVELI LIGNITE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nlcindia/NLC,http://www.moneycontrol.com/company-article/nlcindia/news/NLC#NLC,
132,540065,RBL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/rblbank/RB03,http://www.moneycontrol.com/company-article/rblbank/news/RB03#RB03,
133,532331,AJANTA PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,http://www.moneycontrol.com/company-article/ajantapharma/news/AP22#AP22,
134,500260,THE RAMCO CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC,http://www.moneycontrol.com/company-article/theramcocements/news/MC#MC,
135,511243,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/cholamandalaminvestmentfinancecompany/CDB,http://www.moneycontrol.com/company-article/cholamandalaminvestmentfinancecompany/news/CDB#CDB,
136,531500,RAJESH EXPORTS LTD.,http://www.moneycontrol.com/india/stockpricequote/diamond-cutting-jewellery-precious-metals/rajeshexports/RE07,http://www.moneycontrol.com/company-article/rajeshexports/news/RE07#RE07,
137,500271,MAX FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,http://www.moneycontrol.com/company-article/maxfinancialservices/news/MI#MI,
138,500008,AMARA RAJA BATTERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB,http://www.moneycontrol.com/company-article/amararajabatteries/news/ARB#ARB,
139,500092,CRISIL LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,http://www.moneycontrol.com/company-article/crisil/news/CRI#CRI,
140,500390,RELIANCE INFRASTRUCTURE LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/relianceinfrastructure/RI38,http://www.moneycontrol.com/company-article/relianceinfrastructure/news/RI38#RI38,
141,506285,BAYER CROPSCIENCE LTD.,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/bayercropscience/BC12,http://www.moneycontrol.com/company-article/bayercropscience/news/BC12#BC12,
142,500770,TATA CHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,http://www.moneycontrol.com/company-article/tatachemicals/news/TC#TC,
143,500469,FEDERAL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,http://www.moneycontrol.com/company-article/federalbank/news/FB#FB,
144,532514,INDRAPRASTHA GAS LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/indraprasthagas/IG04,http://www.moneycontrol.com/company-article/indraprasthagas/news/IG04#IG04,
145,532234,NATIONAL ALUMINIUM CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,http://www.moneycontrol.com/company-article/nationalaluminiumcompany/news/NAC#NAC,
146,507815,GILLETTE INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/gilletteindia/GI22,http://www.moneycontrol.com/company-article/gilletteindia/news/GI22#GI22,
147,533206,SJVN LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/sjvn/S11,http://www.moneycontrol.com/company-article/sjvn/news/S11#S11,
148,532683,AIA ENGINEERING LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,http://www.moneycontrol.com/company-article/aiaengineering/news/AIE01#AIE01,
149,533398,MUTHOOT FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/muthootfinance/MF10,http://www.moneycontrol.com/company-article/muthootfinance/news/MF10#MF10,
150,511288,GRUH FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gruhfinance/GRU,http://www.moneycontrol.com/company-article/gruhfinance/news/GRU#GRU,
151,532149,BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofindia/BOI,http://www.moneycontrol.com/company-article/bankofindia/news/BOI#BOI,
152,523395,3M INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,http://www.moneycontrol.com/company-article/3mindia/news/MI42#MI42,
153,532814,INDIAN BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,http://www.moneycontrol.com/company-article/indianbank/news/IB04#IB04,
154,500238,WHIRLPOOL OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/whirlpoolindia/WI,http://www.moneycontrol.com/company-article/whirlpoolindia/news/WI#WI,
